round,timestamp,model,stop_reason,usage_known,input_fresh,input_cached,input_cache_write,output,reasoning,duration_ms,tool_count,tool_errors,schema_count,tool_names,business_results,errors
13,2026-09-08T07:44:35.524351+00:00,deepseek/deepseek-v4-flash,toolUse,True,221,36352,0,270,67,5505,1,0,19,"[""mcp_odoo_preview_write""]","[""success; result=record""]",[]
14,2026-09-08T07:44:39.268797+00:00,deepseek/deepseek-v4-flash,toolUse,True,438,36736,0,182,0,3679,1,0,19,"[""mcp_odoo_validate_write""]","[""success; result=record""]",[]
15,2026-09-08T07:44:43.380139+00:00,deepseek/deepseek-v4-flash,toolUse,True,579,37248,0,282,0,4047,1,0,19,"[""mcp_odoo_execute_approved_write""]","[""verified; record_ids=[1]""]",[]
16,2026-09-08T07:44:48.311468+00:00,deepseek/deepseek-v4-flash,toolUse,True,188,38016,0,162,19,4745,1,0,19,"[""mcp_odoo_read_record""]","[""success; result=record""]",[]
17,2026-09-08T07:44:52.894645+00:00,deepseek/deepseek-v4-flash,toolUse,True,256,38272,0,249,99,4515,1,1,19,"[""mcp_odoo_read_record""]",[],"[{""tool"": ""mcp_odoo_read_record"", ""call_id"": ""call_00_cV4EaoJpGCoTYoSHcOsU0943"", ""model"": ""sale.order.line"", ""record_id"": 1, ""error"": true, ""summary"": ""JSON-2 request sale.order.line.read failed with HTTP 500: Invalid field 'tax_id' on 'sale.order.line'""}]"
18,2026-09-08T07:44:55.985623+00:00,deepseek/deepseek-v4-flash,toolUse,True,167,38656,0,125,0,3022,1,0,19,"[""mcp_odoo_read_record""]","[""success; result=record""]",[]
19,2026-09-08T07:45:01.786615+00:00,deepseek/deepseek-v4-flash,toolUse,True,189,38912,0,361,246,5716,1,0,19,"[""mcp_odoo_execute_method""]","[""verified; state=sale""]",[]
20,2026-09-08T07:45:15.690557+00:00,deepseek/deepseek-v4-flash,toolUse,True,147,39424,0,1446,1211,13569,2,0,19,"[""mcp_odoo_get_model_fields"", ""mcp_odoo_read_record""]","[""success; fields=4"", ""success; result=record""]",[]
21,2026-09-08T07:45:23.965908+00:00,deepseek/deepseek-v4-flash,toolUse,True,435,40960,0,478,314,8151,1,0,19,"[""mcp_odoo_preview_write""]","[""success; result=record""]",[]
22,2026-09-08T07:45:28.999966+00:00,deepseek/deepseek-v4-flash,toolUse,True,265,41856,0,147,0,4938,1,0,19,"[""mcp_odoo_validate_write""]","[""success; result=record""]",[]
23,2026-09-08T07:45:33.111393+00:00,deepseek/deepseek-v4-flash,toolUse,True,299,42240,0,233,0,4036,1,0,19,"[""mcp_odoo_execute_approved_write""]","[""verified; record_ids=[1]""]",[]
24,2026-09-08T07:45:37.603336+00:00,deepseek/deepseek-v4-flash,toolUse,True,120,42752,0,171,53,4395,1,0,19,"[""mcp_odoo_execute_method""]","[""verified""]",[]
25,2026-09-08T07:45:43.430325+00:00,deepseek/deepseek-v4-flash,toolUse,True,434,43008,0,252,83,5236,1,0,19,"[""mcp_odoo_read_record""]","[""success; result=record""]",[]
26,2026-09-08T07:45:49.845992+00:00,deepseek/deepseek-v4-flash,toolUse,True,232,43648,0,298,150,6334,1,0,19,"[""mcp_odoo_read_record""]","[""success; result=record""]",[]
27,2026-09-08T07:45:55.442009+00:00,deepseek/deepseek-v4-flash,toolUse,True,203,44160,0,168,50,5498,1,0,19,"[""mcp_odoo_execute_method""]","[""verified; state=posted""]",[]
28,2026-09-08T07:46:01.024188+00:00,deepseek/deepseek-v4-flash,toolUse,True,220,44416,0,275,31,5348,2,0,19,"[""mcp_odoo_read_record"", ""mcp_odoo_read_record""]","[""success; result=record"", ""success; result=record""]",[]
29,2026-09-08T07:46:08.111520+00:00,deepseek/deepseek-v4-flash,stop,True,413,44800,0,465,0,6933,0,0,19,[],[],[]
